指標名,薬局,,,,,,,
出典,病院なび,,,,,,,
年次,2025/3/6取得,,,,,,,
URL,https://byoinnavi.jp/,,,,,,,
備考,"（2020年度：1,315件、2021年度：1,321件、2022年度：1,323件、2023年度：1,310件、2024年度：1,336件）",,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,施設名,カテゴリ,URL
千代田区,鍛冶町１丁目,-,東京都千代田区鍛冶町1丁目8-3 神田91ビルディング 1階,35.69085,139.77260,みらくる薬局 神田店,薬局,https://www.hhd-mp.com/store/kanda
千代田区,神田駿河台２丁目,-,東京都千代田区神田駿河台二丁目3番地 お茶の水高木ビル1F,35.70002,139.76295,お茶の水駅前薬局,薬局,https://www.phstr.co.jp/ochanomizuekimae
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-3 新お茶の水ビル地下1階,35.69880,139.76516,新お茶の水薬局,薬局,https://www.shinocha-p.com/
千代田区,麹町３丁目,-,東京都千代田区麹町3-7,35.68351,139.73997,麹町調剤薬局,薬局,https://marusuzu-pharmacy.com/
千代田区,丸の内１丁目,大丸有,東京都千代田区丸の内1-6-2 新丸の内センタービルディング2F,35.68411,139.76646,調剤薬局丸の内ファーマシー,薬局,https://www.ph-t.co.jp/store/store-005#ank
千代田区,神田小川町３丁目,-,東京都千代田区神田小川町3-8 中北ビル1階,35.69614,139.76176,アイセイ薬局 駿河台店,薬局,https://www.aisei.co.jp/
千代田区,神田錦町１丁目,-,東京都千代田区神田錦町1-5 カワベビル1F,35.69177,139.76363,田辺薬局 神田錦町店,薬局,http://www.tnb.co.jp/
千代田区,神田駿河台４丁目,-,東京都千代田区神田駿河台4-1-2 ステラお茶の水ビル1階,35.69774,139.76556,南山堂薬局 御茶ノ水店,薬局,https://www.nanzando.co.jp/
千代田区,九段南１丁目,-,東京都千代田区九段南1丁目6番17号 千代田会館ビル1F,35.69354,139.75319,アイセイ薬局 九段南店,薬局,https://www.aisei.co.jp/
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋4-3-2,35.69949,139.74727,雄飛堂薬局 飯田橋店,薬局,https://www.yuhido.com/
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町1-21,35.69777,139.77521,あつみ調剤薬局,薬局,-
