指標名,ミシュラン掲載レストラン,,,,,,,3つ星,特別な料理,
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-1-1 パレスホテル東京 6F,35.68450,139.76123,エステール by アラン・デュカス／ESTERRE by Alain Ducasse,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/esterre
新宿区,荒木町,-,新宿区荒木町 1 2F,35.68969,139.72241,懐石 大原／Kaiseki Ohara,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/kaiseki-ohara
渋谷区,東４丁目,-,渋谷区東 4-6-5 3F,35.65643,139.71385,熟成鮨 万／Jukuseizushi Yorozu,寿司,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/jukuseizushi-yorozu
中央区,銀座７丁目,-,中央区銀座 7-5-4 2F,35.67024,139.76168,銀座 とよだ／Ginza Toyoda,日本料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ginza-toyoda
渋谷区,富ヶ谷１丁目,-,渋谷区富ヶ谷 1-3-12 3F,35.66929,139.68906,静流／Shizuru,日本料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/shizuru
港区,西麻布３丁目,-,港区西麻布 3-3-1,35.65832,139.72729,ル・ブルギニオン／LE BOURGUIGNON,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-bourguignon
渋谷区,元代々木町,-,渋谷区元代々木町 8-8,35.67015,139.68534,ル・キャバレ／Le cabaret,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-cabaret-1194236
港区,西麻布１丁目,-,港区西麻布 1-2-14 B1F,35.66097,139.72663,マ・キュイジーヌ／Ma Cuisine,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/ma-cuisine-1194175
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-17-13,35.64906,139.70541,サンプリシテ／Simplicité,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/simplicite
中央区,銀座５丁目,-,中央区銀座 5-5-4 10F,35.67168,139.76397,アルマーニ リストランテ／ARMANI / RISTORANTE,"イタリア料理, 現代風料理",-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/armani-ristorante-1195701
中央区,銀座５丁目,-,中央区銀座 5-14-14 9F,35.66857,139.76691,薪焼 銀座おのでら／MAKIYAKI GINZA ONODERA,フランス料理,1つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/makiyaki-ginza-onodera
新宿区,荒木町,-,新宿区荒木町 15 2F,35.69108,139.72470,津の守坂 小柴／Tsunokamizaka Koshiba,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tsunokamizaka-koshiba
中央区,銀座３丁目,-,中央区銀座 3-11-6 2F,35.67085,139.76881,時喰み／Tokihami,居酒屋,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tokihami
中央区,銀座５丁目,-,中央区銀座 5-1-8 B1F,35.67202,139.76180,レ・コパン ドゥ ドミニク・ブシェ／Les Copains de DOMINIQUE BOUCHET,フランス料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/les-copains-de-dominique-bouchet
千代田区,霞が関３丁目,虎ノ門広域,千代田区霞が関 3-2-6 東京倶楽部ビルディング 2F,35.67064,139.74660,ラルジャン／L'ARGENT,フランス料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/l-argent
品川区,小山６丁目,-,品川区小山 6-7-6,35.61456,139.69998,ネリザ／nerisa,イタリア料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/nerisa
港区,西麻布１丁目,-,港区西麻布 1-11-10,35.66034,139.72427,タクミ／Takumi,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/takumi
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-7-2,35.65036,139.70722,ル・コック／Le Coq,フランス料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/le-coq
中央区,日本橋兜町,-,中央区日本橋兜町 1-4,35.68039,139.77904,アサヒナガストロノーム／ASAHINA Gastronome,フランス料理,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/asahina-gastronome
渋谷区,富ヶ谷１丁目,-,渋谷区富ヶ谷 1-51-10,35.66863,139.68907,クリスチアノ／Cristiano's,ポルトガル料理,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/cristiano-s
中央区,銀座２丁目,-,中央区銀座 2-6-5 12F,35.67369,139.76716,アロマフレスカ／Aroma Fresca,イタリア料理,1つ星,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/aroma-fresca
新宿区,荒木町,-,新宿区荒木町 10,35.68990,139.72262,荒木町 たつや／Arakicho Tatsuya,日本料理,-,¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/arakicho-tatsuya
渋谷区,神山町,-,渋谷区神山町 11-10 B1F,35.66308,139.69454,すし 光琳／SUSHI KOURIN,寿司,ビブグルマン,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/sushi-kourin
中央区,銀座４丁目,-,中央区銀座 4-2-15 B1F,35.67263,139.76402,バードランド／BIRD LAND,焼鳥,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/bird-land
渋谷区,恵比寿西２丁目,-,渋谷区恵比寿西 2-8-11 3F,35.64953,139.70756,天ぷら 元吉／Tempura Motoyoshi,天ぷら,2つ星,¥¥¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/tempura-motoyoshi
千代田区,丸の内１丁目,大丸有,千代田区丸の内 1-3-4 丸の内テラス 10F,35.68435,139.76404,アッパー／THE UPPER,フランス料理,-,¥¥,https://guide.michelin.com/jp/ja/tokyo-region/tokyo/restaurant/the-upper
