指標名,大使館・領事館,,,,,,,
出典,外務省,,,,,,,
年次,2025/3/9取得,,,,,,,
URL,https://www.mofa.go.jp/mofaj/link/emblist/,,,,,,,
備考,（2020年度：159件、2021年度：159件、2022年度：154件、2023年度：152件、2024年度：155件）,,,,,,,
,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,施設名,英語名,エリア
千代田区,四番町,-,東京都千代田区四番町8-9 ルクセンブルクハウス1階,35.689772,139.737349,ルクセンブルク大公国大使館,Embassy of the Grand Duchy of Luxembourg in Japan,ヨーロッパ
千代田区,麹町２丁目,-,東京都千代田区麹町2-10-7 アイルランドハウス,35.685658,139.740557,アイルランド大使館,Embassy of Ireland in Japan,ヨーロッパ
千代田区,二番町,-,東京都千代田区二番町5-4,35.685086,139.735874,ベルギー王国大使館,Embassy of the Kingdom of Belgium in Japan,ヨーロッパ
千代田区,二番町,-,東京都千代田区二番町5-4,35.685086,139.735874,在東京ベルギー王国総領事館,Consulate-General of the Kingdom of Belgium in Tokyo,ヨーロッパ
千代田区,一番町,-,東京都千代田区一番町1,35.686386,139.744018,英国大使館,His Britannic Majesty's Embassy in Japan,ヨーロッパ
中央区,日本橋２丁目,日八京,東京都中央区日本橋2-5-1 日本橋高島屋三井ビルディング TDK株式会社,35.681368,139.77378,在東京ルクセンブルク大公国名誉総領事館,Honorary Consulate General of the Grand Duchy of Luxembourg in Tokyo,ヨーロッパ
中央区,築地６丁目,-,東京都中央区築地6丁目4-8、北國新聞ビル4階,35.664898,139.772611,アルバニア共和国大使館,Embassy of the Republic of Albania in Japan,ヨーロッパ
品川区,北品川６丁目,-,東京都港区高輪4-18-26,35.626437,139.731214,アイスランド大使館,Embassy of Iceland in Japan,ヨーロッパ
品川区,上大崎１丁目,-,東京都品川区上大崎1-5-42 上大崎コンパウンド2階及び3階,35.633172,139.723738,タジキスタン共和国大使館,Embassy of the Republic of Tajikistan in Japan,ヨーロッパ
品川区,東五反田５丁目,-,東京都品川区東五反田5-6-32,35.630586,139.722791,ベラルーシ共和国大使館,Embassy of the Republic of Belarus in Japan,ヨーロッパ
品川区,東五反田５丁目,-,東京都品川区東五反田5丁目16-17 パティオ池田山イースト,35.628906,139.72248,北マケドニア共和国大使館,Embassy of the Republic of North Macedonia in Japan,ヨーロッパ
港区,麻布台３丁目,-,東京都港区麻布台3丁目5-7 麻布アメレックスビル5階,35.659912,139.740334,サモア独立国大使館,Embassy of the Independent State of Samoa in Japan,大洋州
港区,麻布台１丁目,虎ノ門,東京都港区麻布台1-9-10 飯倉ITビル2階,35.659722,139.742602,トンガ王国大使館,Embassy of the Kingdom of Tonga in Japan,大洋州
港区,麻布台２丁目,-,東京都港区麻布台2丁目3-5 ノア・ビルディング14階,35.659314,139.742525,フィジー共和国大使館,Embassy of the Republic of Fiji in Japan,大洋州
港区,東麻布２丁目,-,東京都港区東麻布2-21-11,35.656556,139.741353,パラオ共和国大使館,Embassy of the Republic of Palau in Japan,大洋州
港区,三田２丁目,-,東京都港区三田2丁目1-14,35.651898,139.739259,オーストラリア大使館,Australian Embassy in Japan,大洋州
渋谷区,神山町,-,東京都渋谷区神山町20-40,35.66371,139.690546,ニュージーランド大使館,New Zealand Embassy in Japan,大洋州
新宿区,西新宿６丁目,-,東京都新宿区西新宿6-16-6 タツミビル5階 大日本土木株式会社 海外支店,35.691695,139.687767,在東京ツバル名誉総領事館,Honorary Consulate-General of Tuvalu in Tokyo,大洋州
中央区,銀座１丁目,-,東京都中央区銀座1-9-2 北野建設（株）東京本社7階,35.674338,139.769294,在東京ソロモン諸島名誉領事館,Honorary Consulate of Solomon Islands in Tokyo,大洋州
目黒区,青葉台１丁目,-,東京都目黒区青葉台1-6-59　青葉台ビル2階（一社）日本ニウエ友好協会内,35.648163,139.6978675,在東京ニウエ名誉領事館,Honorary Consulate of Niue in Tokyo,大洋州
港区,六本木１丁目,虎ノ門,東京都港区六本木1丁目8-4,35.663366,139.739286,サウジアラビア王国大使館,Royal Embassy of Saudi Arabia in Japan,中東
港区,麻布台２丁目,-,東京都港区麻布台2-2-1,35.658167,139.742089,アフガニスタン・イスラム共和国大使館,Embassy of the Islamic Republic of Afghanistan in Japan,中東
港区,元麻布２丁目,-,東京都港区元麻布2丁目3-28,35.653664,139.727446,カタール国大使館,Embassy of the State of Qatar in Japan,中東
港区,南麻布３丁目,-,東京都港区南麻布3丁目13-9,35.648021,139.731246,イラン・イスラム共和国大使館,Embassy of the Islamic Republic of Iran in Japan,中東
港区,赤坂１丁目,虎ノ門,東京都港区赤坂1丁目11-36 レジデンス・バイカウンテス710号,35.668746,139.741666,バーレーン王国大使館,Embassy of the Kingdom of Bahrain in Japan,中東
港区,赤坂６丁目,赤坂,東京都港区赤坂6丁目19-45 ホーマット・ジェイド,35.667427,139.733714,シリア・アラブ共和国大使館,Embassy of the Syrian Arab Republic in Japan,中東
港区,三田４丁目,-,東京都港区三田4丁目13-12,35.645382,139.741547,クウェート国大使館,Embassy of the State of Kuwait in Japan,中東
渋谷区,神宮前２丁目,-,東京都渋谷区神宮前2丁目33-6,35.673281,139.708577,トルコ共和国大使館,Embassy of the Republic of Turkey in Japan,中東
渋谷区,広尾４丁目,-,東京都渋谷区広尾4-2-17,35.65437,139.72163,オマーン国大使館,Embassy of the Sultanate of Oman in Japan,中東
渋谷区,神山町,-,東京都渋谷区神山町14-6 ラビアンパレス松濤,35.663079,139.692829,イラク共和国大使館,Embassy of the Republic of Iraq in Japan,中東
渋谷区,神山町,-,東京都渋谷区神山町39-8,35.664457,139.691693,ヨルダン・ハシェミット王国大使館,Embassy of the Hashemite Kingdom of Jordan in Japan,中東
千代田区,三番町,-,東京都千代田区三番町6－3 三番町KB-6ビル4階,35.690287,139.742026,イエメン共和国大使館,Embassy of the Republic of Yemen in Japan,中東
千代田区,二番町,-,東京都千代田区二番町3,35.686061,139.737294,イスラエル国大使館,Embassy of Israel in Japan,中東
目黒区,下目黒１丁目,-,東京都目黒区下目黒1-8-1　アルコタワー7階,35.6306231,139.7142745,アラブ首長国連邦大使館,Embassy of the United Arab Emirates in Japan,中東
港区,芝３丁目,-,東京都港区芝3丁目1-14　芝公園阪神ビル7階、8階,35.6542052,139.7456038,チリ共和国大使館,Embassy of the Republic of Chile in Japan,中南米
港区,芝公園１丁目,-,東京都港区芝大門一丁目2－1 大門KSビル7階 （移転：令和5年3月30日）,35.660141,139.751733,ウルグアイ東方共和国大使館,Embassy of the Oriental Republic of Uruguay in Japan,中南米
港区,芝３丁目,-,東京都港区芝3丁目1-14 芝公園阪神ビル8階,35.654226,139.745405,在東京チリ共和国総領事館,Consulate-General of the Republic of Chile in Tokyo,中南米
港区,西麻布３丁目,-,東京都港区西麻布3－20－5西麻布清美堂ビル（移転：令和4年8月15日）,35.660122,139.726176,エルサルバドル共和国大使館,Embassy of the Republic of El Salvador in Japan,中南米
港区,六本木６丁目,六本木,東京都港区六本木6-6-2 R-WEST（移転：令和4年12月12日）,35.661321,139.73138,コスタリカ共和国大使館,Embassy of the Republic of Costa Rica in Japan,中南米
港区,麻布台３丁目,-,東京都港区麻布台3-5-7 麻布アメレックスビル8階（移転：令和4年8月29日）,35.659912,139.740334,エクアドル共和国大使館,Embassy of the Republic of Ecuador in Japan,中南米
港区,東麻布１丁目,-,東京都港区東麻布1-10-11 東麻布アベビル5階（移転：令和4年9月20日）,35.656787,139.744699,ホンジュラス共和国大使館,Embassy of the Republic of Honduras in Japan,中南米
港区,東麻布１丁目,-,東京都港区東麻布1-10-11東麻布アベビル4階（移転：令和4年8月22日）,35.656787,139.744699,グアテマラ共和国大使館,Embassy of the Republic of Guatemala in Japan,中南米
港区,東麻布２丁目,-,東京都港区東麻布1丁目10-11 東麻布アベビル7階,35.656791,139.742114,ハイチ共和国大使館,Embassy of the Republic of Haiti in Japan,中南米
港区,東麻布１丁目,-,東京都港区東麻布1丁目28-4,35.65544,139.743964,キューバ共和国大使館,Embassy of the Republic of Cuba in Japan,中南米
港区,麻布十番２丁目,-,東京都港区麻布十番1-10-3 モンテプラザ麻布904 （移転：令和4年11月18日）,35.656195,139.733848,在東京ドミニカ共和国総領事館,Consulate-General of the Dominican Republic in Tokyo,中南米
港区,元麻布２丁目,-,東京都港区元麻布2丁目13-1,35.654248,139.730706,ジャマイカ大使館,Embassy of Jamaica in Japan,中南米
