指標名,バス停,,,,,,,,,,,,
出典,NAVITIME,,,,,,,,,,,,
年次,2023/1/27 取得,,,,,,,,,,,,
URL,https://www.navitime.co.jp/,,,,,,,,,,,,
備考,"（2021年度：3,601件、2022年度：3568件）",,,,,,,,,,,,
,,,,,,,,,,,,,
区,町丁目,エリア,住所,緯度,経度,バス停名,路線数,1÷路線数,バス路線名,事業者名・系統等,方面1,方面2,種類
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー内房五井線〔深夜急行〕,平和交通,おゆみ野駅/五井駅東口方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー蘇我線〔深夜急行〕,平和交通,蘇我駅西口方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,マイタウンライナー幕張ベイエリア・稲毛線〔深夜急行〕,平和交通,西小中台団地方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,新松戸・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港交通,成田空港第２ターミナル/新松戸駅方面,-,バス停
中央区,八重洲一丁目,日八京,東京都中央区八重洲1丁目6東京駅八重洲口前(ﾊﾞｽ),35.681503,139.769856,東京駅八重洲口前,118,0.008475,西船橋・千葉ニュータウン・成田線〔深夜急行バス〕,成田空港交通,成田空港第２ターミナル/西船橋駅方面,-,バス停
中央区,明石町,-,東京都中央区明石町7?15,35.667477,139.778627,明石町(東京都),118,0.008475,東１５,都営バス,東京駅八重洲口方面,深川車庫前方面,バス停
中央区,明石町,-,東京都中央区明石町7?15,35.667477,139.778627,明石町(東京都),118,0.008475,南循環〔中央区役所→勝どき駅〕,江戸バス(中央区),月島区民センター/勝どき駅方面,-,バス停
中央区,日本橋馬喰町一丁目,-,東京都中央区日本橋馬喰町1丁目13浅草橋,35.69442,139.783632,浅草橋,118,0.008475,東４２-１,都営バス,東京駅八重洲口方面,南千住駅西口方面,バス停
中央区,日本橋馬喰町一丁目,-,東京都中央区日本橋馬喰町1丁目13浅草橋,35.69442,139.783632,浅草橋,118,0.008475,東４２-２,都営バス,東神田（東京都）方面,南千住駅西口方面,バス停
江東区,佐賀一丁目,-,東京都江東区永代1丁目31~中央区新川1丁目永代橋,35.676291,139.787635,永代橋(東京都),118,0.008475,東２２,都営バス,錦糸町駅前方面,東京駅丸の内北口方面,バス停
中央区,日本橋蛎殻町一丁目,-,東京都中央区日本橋蛎殻町1丁目38,35.682667,139.785018,蛎殻町,118,0.008475,錦１１,都営バス,築地駅前方面,亀戸駅前方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,東１５,都営バス,東京駅八重洲口方面,深川車庫前方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,業１０(新橋-とうきょうスカイツリー駅前),都営バス,とうきょうスカイツリー駅前方面,新橋（東京都）方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,都０３,都営バス,ホテルマリナーズコート東京前/晴海埠頭方面,四谷駅方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,都０４,都営バス,東京駅丸の内南口方面,-,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,都０５-１,都営バス,ホテルマリナーズコート東京前/晴海埠頭方面,東京駅丸の内南口方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,都０５-２,都営バス,東京ビッグサイト〔バス〕方面,東京駅丸の内南口方面,バス停
中央区,勝どき一丁目,-,東京都中央区勝どき1丁目3勝どき橋南詰,35.660601,139.776582,勝どき橋南詰,118,0.008475,深夜１３,都営バス,有明一丁目方面,東京駅丸の内南口方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,市０１,都営バス,豊洲市場方面,新橋駅前方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,東１５,都営バス,東京駅八重洲口方面,深川車庫前方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,業１０(新橋-とうきょうスカイツリー駅前),都営バス,とうきょうスカイツリー駅前方面,-,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,都０３,都営バス,ホテルマリナーズコート東京前/晴海埠頭方面,四谷駅方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,都０４,都営バス,豊海水産埠頭方面,東京駅丸の内南口方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,都０５-１,都営バス,ホテルマリナーズコート東京前/晴海埠頭方面,東京駅丸の内南口方面,バス停
中央区,勝どき二丁目,-,東京都中央区勝どき2丁目8勝どき駅前,35.658687,139.77852,勝どき駅前,118,0.008475,門３３,都営バス,亀戸駅前方面,豊海水産埠頭方面,バス停
