指標名,神社・寺院・教会,,,,,,
出典,NAVITIME,,,,,,
年次,2023/1/20 取得,,,,,,
URL,https://www.navitime.co.jp/,,,,,,
備考,（2020年度：609件、2021年度：668件、2022年度：899件）,,,,,,
,,,,,,,
区,町丁目,エリア,住所,施設名,種類,緯度,経度
江東区,亀戸三丁目,-,東京都江東区亀戸3丁目38-35,天祖神社,神社,35.706558,139.820942
江東区,千田,-,東京都江東区千田12-8,宇迦八幡宮,神社,35.682200,139.814726
江東区,大島五丁目,-,東京都江東区大島5丁目39-26,大島稲荷神社,神社,35.686405,139.836632
江東区,大島二丁目,-,東京都江東区大島2-15-4,愛宕神社,神社,35.690655,139.823480
江東区,森下一丁目,-,東京都江東区森下1-3-17,深川神明宮,神社,35.686577,139.797423
江東区,大島三丁目,-,東京都江東区大島3-21-9,稲荷神社,神社,35.691667,139.828801
江東区,大島七丁目,-,東京都江東区大島7丁目24-1,東大島神社,神社,35.690829,139.840954
江東区,猿江二丁目,-,東京都江東区猿江2丁目,猿江神社,神社,35.686280,139.816984
江東区,亀戸九丁目,-,東京都江東区亀戸9-15-7,亀戸浅間神社,神社,35.695756,139.844443
江東区,亀戸三丁目,-,東京都江東区亀戸3丁目57-22,亀戸香取神社,神社,35.704238,139.825181
江東区,木場二丁目,-,東京都江東区木場2-18-12,繁榮稲荷神社,神社,35.669952,139.804793
江東区,北砂三丁目,-,東京都江東区北砂3-21-11,治兵衛稲荷神社,神社,35.681838,139.830595
江東区,亀戸三丁目,-,東京都江東区亀戸3-6-1,御嶽神社,神社,35.703144,139.821007
江東区,東砂四丁目,-,東京都江東区東砂4-2-18,天祖神社,神社,35.677109,139.837642
江東区,常盤一丁目,-,東京都江東区常盤1-2,正木稲荷神社,神社,35.683716,139.794447
江東区,東砂二丁目,-,東京都江東区東砂2-14-5,稲荷神社,神社,35.685548,139.845711
江東区,東砂五丁目,-,東京都江東区東砂5-4-10,稲荷神社,神社,35.676414,139.840551
江東区,亀戸四丁目,-,東京都江東区亀戸4-37-13,石井神社,神社,35.702312,139.828287
江東区,猿江一丁目,-,東京都江東区猿江1-22-12,日先神社,神社,35.686654,139.813637
江東区,北砂四丁目,-,東京都江東区北砂4-25-15,亀高神社,神社,35.679307,139.832794
江東区,亀戸四丁目,-,東京都江東区亀戸4-11-19,水神社,神社,35.701165,139.831565
江東区,佐賀二丁目,-,東京都江東区佐賀2-4-8,稲荷神社,神社,35.678875,139.791130
江東区,亀戸三丁目,-,東京都江東区亀戸3丁目57-22,香取神社,神社,35.704238,139.825181
江東区,牡丹一丁目,-,東京都江東区牡丹1-12-9,稲荷神社,神社,35.670750,139.794437
江東区,清澄三丁目,-,東京都江東区清澄3-9-14,三穂道別稲荷神社,神社,35.682627,139.797753
江東区,東砂三丁目,-,東京都江東区東砂3-17-17,稲荷神社,神社,35.681487,139.842200
江東区,東砂六丁目,-,東京都江東区東砂6丁目13-4,天祖神社,神社,35.673151,139.841120
江東区,北砂二丁目,-,東京都江東区北砂2丁目1-37,宗教法人志演尊空神社,神社,35.677594,139.826643
品川区,北品川三丁目,-,東京都品川区北品川3-7-15,品川神社,神社,35.618326,139.739836
品川区,戸越二丁目,-,東京都品川区戸越2-6-23,戸越八幡神社,神社,35.613282,139.720280
品川区,大崎三丁目,-,東京都品川区大崎3-8-20,大崎鎮守 居木神社,神社,35.619850,139.725088
品川区,二葉一丁目,-,東京都品川区二葉1-3-24,下神明天祖神社,神社,35.606524,139.726425
品川区,西五反田五丁目,-,東京都品川区西五反田5丁目6-3,氷川神社,神社,35.624522,139.715432
品川区,南大井一丁目,-,東京都品川区南大井1丁目4-1,天祖・諏訪神社,神社,35.597106,139.738893
品川区,荏原七丁目,-,東京都品川区荏原7丁目5-14,小山八幡神社,神社,35.611677,139.699653
