指標名,シェアサイクルポート,,,,,,,
出典,東京自転車シェアリング ポートマップ,,,,,,,
年次,2024/2/2取得,,,,,,,
URL,https://www.google.com/maps/d/viewer?mid=1L2l1EnQJhCNlm_Xxkp9RTjIj68Q,,,,,,,
備考,2020年度：645件、2021年度：679件、2022年度：728件、2023年度：793件）,,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,ポート名,休止・再開・閉鎖情報,営業時間
江東区,千石二丁目,-,東京都江東区千石2-12-24,35.677044,139.816505,H1-130.トヨタモビリティ東京 深川店 / TOYOTA Mobility Tokyo Fukagawa,-,Open for 24 hours
江東区,佐賀二丁目,-,東京都江東区佐賀2-12-7,35.678919,139.79346,H1-131.セブン-イレブン江東佐賀2丁目店 / Seven-Eleven Koto Saga 2chome Store,-,Open for 24 hours
江東区,三好四丁目,-,東京都江東区三好4-6-7,35.681344,139.809378,H1-132.セブン-イレブン江東三好4丁目店 / Seven-Eleven Koto Miyoshi 4chome Store,-,Open for 24 hours
江東区,北砂二丁目,-,東京都江東区北砂2-9,35.679467,139.825995,H1-133.北砂2丁目公園 / Kitasuna 2 chome park,-,Open for 24 hours
江東区,北砂五丁目,-,東京都江東区北砂5-20,35.683349,139.831765,"H1-135.北砂5丁目団地 /	Kitasuna 5 chome Danchi",-,Open for 24 hours
江東区,東砂一丁目,-,東京都江東区東砂1-2-13,35.68378,139.839699,H1-136.東砂一丁目公園 / Higashisuna 1 chome Park,-,Open for 24 hours
江東区,有明二丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-137.住友不動産ショッピングシティ有明ガーデン / ARIAKE GARDEN,-,Open for 24 hours
江東区,新大橋三丁目,-,東京都江東区新大橋3-5-4,35.68739,139.795575,H1-138.HW.HILLS新大橋 / HW.HILLS Shin-Ohashi,-,Open for 24 hours
江東区,住吉二丁目,-,東京都江東区住吉2-16-11,35.689998,139.815121,H1-140.キャナルパレス住吉 / The Canal Palace SUMIYOSHI,-,Open for 24 hours
江東区,潮見二丁目,-,東京都江東区潮見2-8-6,35.65768,139.818887,H1-142.東京ベイ潮見プリンスホテル / Tokyo Bay Shiomi Prince Hotel,-,Open for 24 hours
江東区,青海一丁目,-,東京都江東区青海1-1-20,35.625101,139.776415,H1-143.ダイバーシティ東京 プラザ / DiverCity Tokyo Plaza,-,Open for 24 hours
江東区,南砂二丁目,-,東京都江東区南砂2-3-1,35.670265,139.821987,H1-144.南砂住宅 / Minamisuna Juutaku,-,Open for 24 hours
江東区,東雲二丁目,-,東京都江東区東雲2-4-1,35.642418,139.79807,H1-145.東雲都橋住宅 / Shinonome Miyakobashi Juutaku,-,Open for 24 hours
江東区,大島四丁目,-,東京都江東区大島4-1-1,35.687754,139.827447,H1-147.大島四丁目団地 / Ojima 4 chome Danchi,-,Open for 24 hours
江東区,大島七丁目,-,東京都江東区大島7-13,35.694035,139.83896,H1-148.大島七丁目団地 / Ojima 7 chome Danchi,-,Open for 24 hours
江東区,有明二丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-149.有明ガーデン 公園口 / ARIAKE GARDEN PARK ENTRANCE,-,Open for 24 hours
江東区,有明二丁目,-,東京都江東区有明2-1-8,35.638568,139.792846,H1-150. ホテルヴィラフォンテーヌ南側 / Hotel Villa Fontaine South side,-,Open for 24 hours
江東区,亀戸二丁目,-,東京都江東区亀戸2-7-7,35.701293,139.820202,H1-151.コスモリード錦糸町 / COSMOS REID Kinshicho,-,Open for 24 hours
江東区,亀戸二丁目,-,東京都江東区亀戸2-29-4,35.699122,139.824242,H1-152.コンポジット亀戸ウエスト / Composite Kameido West,-,Open for 24 hours
江東区,新木場二丁目,-,東京都江東区新木場2-3-13,35.639227,139.824054,H1-153.三井リンクラボ新木場1 / MITSUI LINK-Lab SHINKIBA1,-,Open for 24 hours
江東区,有明三丁目,-,東京都江東区有明3-12-13,35.629565,139.792489,H1-154.やぐら橋下 / Yagurabashi shita,-,Open for 24 hours
江東区,豊洲六丁目,-,東京都江東区豊洲6-5-34,35.64492,139.782405,H1-155.メブクス豊洲 / MEBKS TOYOSU,-,Open for 24 hours
江東区,有明三丁目,-,東京都江東区有明3-3,35.630932,139.786483,H1-156.つどい橋下 / Tsudoibashi,-,Open for 24 hours
江東区,青海二丁目,-,東京都江東区青海2-2,35.619517,139.775333,H1-158.東京国際交流館 / Tokyo International Exchange Center,-,Open for 24 hours
江東区,青海一丁目,-,東京都江東区青海1-2,35.627252,139.778937,H1-159.夢の大橋西 / Yume-no-ohashi West,-,Open for 24 hours
