,,,,,,,,,,,2023年度,昨年
指標名,保育園,,,認可保育所,https://www.fukushi.metro.tokyo.lg.jp/kiban/fukushi_shisetsu/shs_list/index.html,,,,,認可,644,603
出典,東京都福祉保健局,,,認証保育所,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninsyo/ichiran.html,,,,,認証A,88,98
年次,2024/2/6取得,,,こども園,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/n_kodomoen/shisetsuichiran.html,,,,,認証B,11,12
URL,右記参照,,,認可外保育施設,https://www.fukushihoken.metro.tokyo.lg.jp/kodomo/hoiku/ninkagai/index.html,,,,,認定こども園（幼保連携型）,7,7
備考,（2021年度：1073件、2022年度：1080件、2023年度：792件）,,,,,,,,,認定こども園（保育所型）,41,38
,,,,,,,,,,認定こども園（地方裁量型）,0,1
区,町丁,エリア,住所,緯度,経度,施設名,種別,定員,データ時点,,,
中央区,築地６丁目,-,中央区築地４－１５－１,35.664087,139.771598,築地保育園,認可,123,令和5年10月1日時点,,,
中央区,佃１丁目,-,中央区佃１－１０－７　コンフォール月島１ー３階,35.667418,139.78401,さくらさくみらいつくだ大通り,認可,50,令和5年10月1日時点,,,
中央区,佃１丁目,-,中央区佃１－１１－８　ピアウエストスクエアノースウイング２階,35.669705,139.784422,ほっぺるランド佃,認可,92,令和5年10月1日時点,,,
中央区,佃１丁目,-,中央区佃１－４－８,35.666993,139.782592,さくらさくみらい佃,認可,60,令和5年10月1日時点,,,
中央区,佃２丁目,-,中央区佃２－１０－９　ライオンズタワー月島１Ｆ,35.666154,139.784459,保育所まぁむ月島駅前園,認可,80,令和5年10月1日時点,,,
中央区,佃２丁目,-,中央区佃２－２－２,35.666852,139.786975,つくだ保育園,認可,131,令和5年10月1日時点,,,
中央区,佃２丁目,-,中央区佃２－２２－２,35.666499,139.786748,みちてる保育園,認可,64,令和5年10月1日時点,,,
中央区,佃３丁目,-,中央区佃3-2-11 エムエー月島1～3F,35.665494,139.786686,ほっぺるランド相生橋つくだ,認可,51,令和5年10月1日時点,,,
中央区,月島１丁目,-,中央区月島１－１－１３　プライマル月島１階・２階,35.666534,139.782072,ほっぺるランド佃大橋,認可,60,令和5年10月1日時点,,,
中央区,月島１丁目,-,中央区月島１－５－２　キャピタルゲートプレイス２階,35.664162,139.783695,太陽の子月島保育園,認可,95,令和5年10月1日時点,,,
中央区,月島２丁目,-,中央区月島２－１０－３,35.663248,139.783922,月島保育園,認可,128,令和5年10月1日時点,,,
中央区,月島２丁目,-,中央区月島２－１３－５　オルフェ月島ビル２・３階,35.662773,139.783594,アンジェリカ月島保育園,認可,100,令和5年10月1日時点,,,
中央区,月島３丁目,-,中央区月島3-16-1 アヴェルーナ月島1～3F,35.662514,139.780269,クオリスキッズ月島保育園,認可,60,令和5年10月1日時点,,,
