指標名,レストラン,,,,,,,
出典,hotpepper,,,,,,,
年次,2024/01/19取得,,,,,,,
URL,http://webservice.recruit.co.jp/hotpepper/gourmet/v1,,,,,,,
備考,(2021年度：35615件、2022年度：35814件、2023年度：15927件),,,,,,,
,,,,,,,,
区,町丁,エリア,住所,緯度,経度,レストラン名,ジャンル,URL
千代田区,神田佐久間町２丁目,-,東京都千代田区神田佐久間町２-１７,35.69842653,139.7759839,やきとん酒場 秋葉原 とら八,居酒屋,https://www.hotpepper.jp/strJ000115170/?vos=nhppalsa000016
千代田区,内神田３丁目,-,東京都千代田区内神田３-22-10 竹内ビル1F,35.69248093,139.7703296,関西風料理と焼鳥 居酒屋 おおきに,居酒屋,https://www.hotpepper.jp/strJ001293781/?vos=nhppalsa000016
千代田区,内神田３丁目,-,東京都千代田区内神田３-8-6 ナイン有美ビル,35.6910233,139.7695764,焼き鳥職人 炭 神田本店,居酒屋,https://www.hotpepper.jp/strJ003411501/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-2-9,35.67282815,139.7602893,吉蔵 有楽町日比谷店,居酒屋,https://www.hotpepper.jp/strJ003560511/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１-15 川初ビル７階,35.69784572,139.7744585,創作和食個室居酒屋 龍の屋 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003559217/?vos=nhppalsa000016
千代田区,丸の内２丁目,大丸有,東京都千代田区丸の内２-7-2 JPタワーKITTE6F,35.67984692,139.7647148,炭焼 寿し処 くし路 KITTE丸の内店,和食,https://www.hotpepper.jp/strJ003649526/?vos=nhppalsa000016
千代田区,有楽町１丁目,大丸有,東京都千代田区有楽町１-6番1号第二日比谷ビル5階,35.6738386,139.7605317,串焼きと野菜巻き 串治郎 有楽町店,居酒屋,https://www.hotpepper.jp/strJ003560298/?vos=nhppalsa000016
千代田区,有楽町２丁目,大丸有,東京都千代田区有楽町２-3-6 九重会館 7F,35.67318676,139.7617578,旨い九州料理と全席個室居酒屋 九州蔵 くすぞう 有楽町店,居酒屋,https://www.hotpepper.jp/strJ003433509/?vos=nhppalsa000016
千代田区,鍛冶町２丁目,-,東京都千代田区鍛冶町２－２－９ 共伸会館ビルB1,35.69153218,139.7714482,さかながはねて 神田店,居酒屋,https://www.hotpepper.jp/strJ003560459/?vos=nhppalsa000016
千代田区,外神田５丁目,-,東京都千代田区外神田５-1-13 滝口第二ビル,35.70315951,139.7723623,ハワイアンリゾートダイニング Waikiki ワイキキ 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ003582215/?vos=nhppalsa000016
千代田区,有楽町,-,東京都千代田区有楽町１‐６‐８　松井ビル２Ｆ,35.67358197,139.7609442,三代目鳥メロ 有楽町日比谷口店,居酒屋,https://www.hotpepper.jp/strJ000804621/?vos=nhppalsa000016
千代田区,神田佐久間町１丁目,-,東京都千代田区神田佐久間町１-24 6F,35.6983729,139.7751362,魚縁 GYOEN 秋葉原店,居酒屋,https://www.hotpepper.jp/strJ001251685/?vos=nhppalsa000016
千代田区,飯田橋４丁目,-,東京都千代田区飯田橋４-5-6 イーシーエス第6ビル 1F,35.70046191,139.7471265,大衆和牛酒場 コンロ家 飯田橋店,居酒屋,https://www.hotpepper.jp/strJ001186344/?vos=nhppalsa000016
